keyword,matched_text,title,sentence
ESL,ESL,Boulder High School,"The changes include a remodeled ESL wing and counseling office, a new gymnasium, a larger administrative wing, and a bigger auditorium backstage."
ESL,ESL,Lake Hamilton High School,"Lake Hamilton offers a variety of educational programs, including English as a Second Language (ESL), Advanced Placement (AP), character and drug education programs, homeless child and youth programs, career and technical education, and special needs and special education classes."
bilingual,bilingual,Menchville High School,"Menchville is home to the division’s Dual Language Immersion program, which teaches academic content in two languages and promotes bilingual proficiency."
immigrants,immigrants,Pope Francis Preparatory School,"In 1883, the diocese's Bishop Patrick Thomas O'Reilly sought a teaching staff for a high school in response to the growing number of Catholic immigrants in the area."
ESL,ESL,Lenox Memorial High School (Massachusetts),"There are also Special Education, Guidance, and ESL services."
immigrant,immigrant,"Hoover High School (San Diego, California)","The City Heights neighborhood, in the school's attendance area, houses many immigrant families and low income families."
citizenship,Citizenship,Leadership & Public Service High School,"Leadership & Public Service High School (formerly known as The High School for Leadership and Public Service) was formed in 1993 in Manhattan as a joint project between Syracuse University's Maxwell School of Citizenship and Public Affairs and the Board of Education of the City of New York, as one of 30 newly formed 'small high schools'."
migrant,migrant,School for Creative and Performing Arts,"One of the largest German-American neighborhoods in the United States in the 19th century and a famed entertainment district at that time, Over-the-Rhine had declined into an impoverished and crime-ridden enclave for migrant Appalachians in the 20th century."
citizenship,citizenship,School for Creative and Performing Arts,"National Honor Society (for grades ten to twelve) and National Junior Honor Society (for grades seven through nine) are by invitation only to students who demonstrate outstanding achievement, service, leadership, and citizenship."
immigrants,immigrants,Benedictine High School (Ohio),The original focus of the founders was to teach the sons of Slovak immigrants.
sanctuary,sanctuary,Carroll Christian Schools,"In addition to the original sanctuary (the cornerstone reads 1967), numerous buildings have been added."
sanctuary,sanctuary,Carroll Christian Schools,"The original sanctuary is the Baker building, named after the founding pastor of the church, Reverend Ernest Baker."
immigrants,immigrants,Middle College High School at LaGuardia Community College,"The Internationals Network for Public Schools is an educational nonprofit supporting International high schools serving newly arrived immigrants who are English language learners (ELLs), in New York, California, Kentucky, Maryland, Virginia, and Washington, DC."
immigration,immigration,"West High School (Sioux City, Iowa)","This resulted in outrage and protests amongst students, given the school's largely Hispanic student body, and Trump's anti-immigration views."
citizenship,citizenship,Etowah High School (Georgia),Social Studies – The Social Students department's goals include helping students develop a continuing interest in their society; develop a respect for the dignity and worth of all persons; and achieve the depth of understanding and loyalty to democratic ideas and the skills necessary to accept responsibilities and rights of citizenship.
bilingual,Bilingual,Buffalo Alternative High School,"The satellite sites included the 'City-As-School' program at 320 Porter Avenue, home of an internship program for Alternative High students, the Fulton Bilingual Program at 220 Fulton Street for bilingual students, and the Fulton Junior High Program for junior high school students."
bilingual,bilingual,Buffalo Alternative High School,"The satellite sites included the 'City-As-School' program at 320 Porter Avenue, home of an internship program for Alternative High students, the Fulton Bilingual Program at 220 Fulton Street for bilingual students, and the Fulton Junior High Program for junior high school students."
sanctuary,Sanctuary,Bishop Dunne Catholic School,The Vincent Langbein Memorial Garden and the Father Tim Gollob Garden Sanctuary were named after previous employees for their support and investment of the school.
immigrants,immigrants,Farragut Career Academy,"In the post-World War II period, the school demographics changed as more African-Americans moved into the surrounding neighborhoods, which European immigrants and Jews had previously populated; the student body and teaching staff became increasingly African-American."
bilingual,bilingual,Uvalde High School,The students also protested the lack of bilingual education.
citizenship,citizenship,"Skyline High School (Oakland, California)","Freshmen can take an 'Advisory' period during which they receive lessons in academic and career planning, study skills, interpersonal development and citizenship."
immigrants,immigrants,Jane Long Academy,"Las Américas Newcomer School, a school for new immigrants, is on the Long campus."
ESL,ESL,Clackamas High School,"In addition, 80% are ESL students and 90% are Latino."
immigrants,immigrants,St. Joseph High School (Brooklyn),"In the beginning, SJHS provided a two-year commercial curriculum to the daughters of immigrants and the working class."
bilingual,bilingual,Woodrow Wilson High School (Los Angeles),"These goals included bilingual education and bicultural education, Latino teachers and administrators, smaller class sizes, better facilities, and the revision of textbooks to include Mexican American history."
bilingual,bilingual,Woodrow Wilson High School (Los Angeles),"The walkouts or blowouts, which began with the March 1, 1968 walkout at Wilson, are credited as seminal events of the Chicano Movement: 'The blowouts resulted in the gradual beginning of various reforms, including bilingual education, Chicano studies, more emphasis on academic subjects, more encouragement of Mexican American students going to college, and more Mexican-American teachers and administrators."
citizenship,citizenship,Campo Verde High School,"The overarching philosophy of the high school is to promote an environment that sparks creativity, inspires innovation, embraces the principles of citizenship, and fosters an atmosphere of lifelong learning."
ESL,ESL,Westfield High School (New Jersey),"The new wing designated for biology, chemistry, physics, and other sciences, along with English as a Second Language (ESL) was completed in 2002."
immigrants,immigrants,Bowen High School (Chicago),"By the 1930s, Bowen's student body had grown to 4,600, due to the great increase in immigrants of Polish and Slavic descent in the South Chicago area."
ESL,ESL,White Mountain School,Learning Center tutorials and the ESL Program have additional fees.
immigrants,immigrants,Lewis and Clark High School,"By 1906, the influx of immigrants and subsequent boom in Spokane's population created a need for a second high school."
migrant,migrant,Everett Alvarez High School,Everett Alvarez offers a depth of faculty to student/parental support with an individualized focus in supporting migrant families.
bilingual,Bilingual,John F. Kennedy High School (Los Angeles),"Advancement Via Individual Determination (AVID), Bilingual Program, Impact, Freshman Transition Program, The Carl D."
immigration,Immigration,Travis Early College High School,Travis High School was featured on Wyatt Cenac's Problem Areas 19: Immigration Problems.
immigration,immigration,Travis Early College High School,"Travis' Ethnic Studies class and teacher, Andrew Gonzales, were interviewed regarding immigration and Texas public schools."
immigrant,immigrant,Boston College High School,"The original Boston College was founded 'to educate Boston's predominantly Irish, Catholic immigrant community.' Nonetheless, the state government required the founders to open the school to students of all religious backgrounds, as reflected in Boston College's founding charter."
immigrants,immigrants,Julia Richman Education Complex,Manhattan International is a high school for recent immigrants with a focus on students whose first language is not English.
citizenship,Citizenship,William Howard Taft High School (New York City),The specialty schools are: Bronx High School for Medical Science Bronx High School of Business Bronx Collegiate Academy (formerly Bronx Expeditionary Learning High School) Claremont International High School DreamYard Preparatory School Jonathan Levin High School for Media and Communications The Urban Assembly Academy for History and Citizenship for Young Men New Directions Secondary School
immigration,Immigration,John Randolph Tucker High School,"In August 2025, a student was arrested by Immigration and Customs Enforcement at the Henrico County Courthouse despite having a special visa given to him; he was there after facing felony driving charges, which were ultimately dropped to misdemeanor charges."
visa,visa,John Randolph Tucker High School,"In August 2025, a student was arrested by Immigration and Customs Enforcement at the Henrico County Courthouse despite having a special visa given to him; he was there after facing felony driving charges, which were ultimately dropped to misdemeanor charges."
citizenship,Citizenship,Academy of Citizenship and Empowerment,"The Academy of Citizenship and Empowerment (ACE) is a public high school in SeaTac, Washington."
citizenship,citizenship,Tottenville High School,"The cadets actively train in the fundamentals of leadership, citizenship, physical fitness, and military skills."
DREAMer,Dreamer,Mill River Union High School,"Other productions have included, Sam Shepard's Geography of a Horse Dreamer, Slavomir Mrozek's, Fox Hunt, and Ted Hughes', The Pig Organ."
ICE,ICE,Belton New Tech High School,The ICE (Innovation Creativity Excellence) Awards is an annual event that showcases the best projects of the year.
bilingual,Bilingual,Franklin Delano Roosevelt High School (New York City),"The school also provides Instructional Support Services for students such as Collaborative Team Teaching (CTT) classes, SETSS classes, and Bilingual classrooms."
immigrants,immigrants,St. Ignatius College Prep,"In 1857, Damen was first assigned to Chicago to start a parish for Irish immigrants on Chicago's near-West Side, then an area of the sprawling prairie."
immigrants,immigrants,Clare High School,"In recent years Clare High School has seen an increase in racial diversity with immigrants coming from Asia, Europe, and Latin America."
ESL,ESL,Gerlach K–12 School,"By that time, the schools had one aide for English as a second language (ESL) purposes as an increasing number of students had that classification."
ICE,ICE,"Heritage High School (Brentwood, California)","In January 2026, many students participated in a walkout protesting the actions of ICE and the Trump Administration."
ESL,ESL,Maine Central Institute,"The building today called Weymouth Hall houses the offices of Athletics and Activities, the dean of students and the dean of residential life, as well as the television studio (WMCI), the Health and Wellness Center, the Campus Bookstore, the Student Union, and classrooms for MCI's prestigious ESL (English as a Second Language) program."
immigrant,immigrant,Sullivan High School (Chicago),"That same year, the school was designated a 'newcomer center' by Chicago Public Schools for its programming for refugee and immigrant students."
refugee,refugee,Sullivan High School (Chicago),"In the 2010s, Sullivan High School has served a large number of refugee students."
refugee,refugee,Sullivan High School (Chicago),"That same year, the school was designated a 'newcomer center' by Chicago Public Schools for its programming for refugee and immigrant students."
foreign-born,foreign-born,Sullivan High School (Chicago),"As of 2017, 45% of students were foreign-born and came from 38 different countries."
immigrants,immigrants,Wadleigh High School for Girls,"Although 85% of the population in New York City at the time of its opening were either immigrants or children of immigrants, from its beginnings Wadleigh took pride in turning its students into 'gentlewomen' who could assume their rightful place as contributors to American society."
immigrants,immigrants,Wadleigh High School for Girls,"Although 85% of the population in New York City at the time of its opening were either immigrants or children of immigrants, from its beginnings Wadleigh took pride in turning its students into 'gentlewomen' who could assume their rightful place as contributors to American society."
asylum,Asylum,Washburn High School,"Land next to the school was occupied by the Washburn Memorial Orphan Asylum, now torn down and replaced with Justice Page Middle School (formerly Ramsey Junior High School)."
English language learner,English Language Learner,Washburn High School,"Washburn offers bilingual support for students and families in Spanish and Somali, and English Language Learner (ELL) classes and support are also available for any student with a home language other than English."
bilingual,bilingual,Washburn High School,"Washburn offers bilingual support for students and families in Spanish and Somali, and English Language Learner (ELL) classes and support are also available for any student with a home language other than English."
citizenship,citizenship,"Hillcrest High School (Springfield, Missouri)",The JROTC program teaches students citizenship and patriotism.
citizenship,citizenship,"Valencia High School (Santa Clarita, California)",AFJROTC’s goal is to train high school cadets in citizenship.
immigrant,immigrant,Sacred Heart Academy (Louisville),"Three young Ursulines answered the request, traveling to Louisville to teach German immigrant children at St."
citizenship,citizenship,Washburn Rural High School,"The objectives of AFJROTC are to educate and train high school cadets in citizenship, promote community service, instill responsibility, character, and self-discipline, while providing instruction in air and space fundamentals."
citizenship,citizenship,Okkodo High School,The MCJROTC program provides students with skills in citizenship and leadership.
immigrants,immigrants,Lincoln-West High School,"First generation Americans and immigrants represented at the academy include: Puerto Rican, Russian, Ukrainian, Mexican, Dominican, Chinese, Albanian, Nepali, Arab, Urdu, Vietnamese, Laotian/Thai, African, Polish and Croatian."
deportation,deportation,Bonner & Prendergast Catholic High School,"On August 28, he pled guilty and sentenced to time served and deportation."
immigrant,immigrant,Margaret Long Wisdom High School,"In 2010 Lee's Houston ISD school board trustee, Harvin Moore, said, 'There is no high school in Houston that has a more unique and difficult challenge with respect to a significant portion of the children who attend there,' citing the concentration of older immigrant students who come from third world countries and often lack basic education."
immigrants,immigrants,Margaret Long Wisdom High School,"As of 2008, it was made up predominantly of first- and second-generation Hispanic immigrants."
immigrants,immigrants,Margaret Long Wisdom High School,"A significant number of Lee's students now come from the Gulfton community, a group of apartment complexes housing recent immigrants."
immigration,immigration,Margaret Long Wisdom High School,"Lee's multi-ethnic population changes parallel Houston's immigration waves, beginning with the Vietnamese families in the early 1980s."
ESL,ESL,Margaret Long Wisdom High School,There is an additional academy for non-English speaking students and 9th graders in need of ESL or additional math or English tutoring.
citizenship,citizenship,Anderson W. Clark Magnet High School,No more than five unsatisfactory (U's) citizenship marks.
immigration,immigration,The Group School,"In 1977, the school described its educational themes as 'internal democracy' and an 'emphasis on helping youth develop a sense of working-class identity and pride.' Founders believed that traditional educational approaches undermined working-class identity by forcing working-class students 'to deny their neighborhood ties' and 'to ignore or denigrate the knowledge they have picked up on the street.' The school developed curricula aimed at reversing this process, in part through course units on family, immigration, and labor history and courses emphasized working-class youths' 'ability to control their own lives and to change their communities.' Radical teachers also developed feminist-oriented curricula in concert with female students, in an attempt, as Kathleen Weiler reports, to use 'the life experiences of working-class girls to draw out themes of race, class, and gender for critical analysis.'"
immigrant,immigrant,Prospect Heights High School,"International High School at Prospect Heights opened in 2004 to address the needs of recent immigrant students by teaching them fluency in reading, writing and speaking."
ICE,ICE,"La Quinta High School (La Quinta, California)","On January 30, 2026, La Quinta High School students participated in a walk out as part of the “ICE Out” protests."
citizenship,citizenship,Suitland High School,"This program offers a comprehensive curriculum that focuses on the development of citizenship, leadership skills, and a deep appreciation for maritime heritage, sea power, and naval subjects."
immigration,Immigration,Fremont High School (Nebraska),"On January 29, 2026, a student was struck by a juvenile driving an SUV with a Donald Trump 2024 presidential campaign flag on the back during a student-led protest against Immigration and Customs Enforcement."
immigrants,immigrants,Saint Dominic Academy,"The school was founded in 1878 by a community of nuns from New York, with the objective to educate children of immigrants, primarily German, before moving to a sire on Bergen Avenue in 1915 and then on Bentley Avenue in 1929."
ESL,ESL,Lydia Patterson Institute,"In 1921, LPI became one of the first schools in the country to emphasize the teaching of English as a Second Language, or ESL, merging students into the appropriate grade upon completion of the ESL program."
ESL,ESL,Lydia Patterson Institute,"In 1921, LPI became one of the first schools in the country to emphasize the teaching of English as a Second Language, or ESL, merging students into the appropriate grade upon completion of the ESL program."
citizenship,citizenship,Fort Worth Christian School,National Honor Society members are selected from the student body based on grades and citizenship.
asylum,asylum,Huntington High School (New York),"In 2018, Huntington High School was at the center of a controversy surrounding the deportation of a Honduran student seeking asylum."
deportation,deportation,Huntington High School (New York),"In 2018, Huntington High School was at the center of a controversy surrounding the deportation of a Honduran student seeking asylum."
ICE,ICE,Huntington High School (New York),"'Despite all these warning signs, when the ICE agents came to Alex's house on June 14, 2017, he was shocked into silence."
immigrant,immigrant,Colonel White High School,It was also home to Appalachian migrants and southern and eastern European immigrant communities.
migrants,migrants,Colonel White High School,It was also home to Appalachian migrants and southern and eastern European immigrant communities.
immigrants,immigrants,Bellaire High School (Texas),At the same time apartments formerly housing White singles began to house low-income immigrants.
immigrants,immigrants,Hebrew Academy of San Francisco,"Many of those students were recent immigrants from the Soviet Union, and they received both ESL training as well as significant scholarships."
ESL,ESL,Hebrew Academy of San Francisco,"Many of those students were recent immigrants from the Soviet Union, and they received both ESL training as well as significant scholarships."
immigrant,Immigrant,Morristown Beard School,"Boring (co-designers of Ellis Island's Immigrant Station), the buildings for this campus required only 90 days to construct."
migrant,migrant,Morristown Beard School,"(1900–1986, class of 1916), founding board member of American Airlines and President of the United States Council for International Business; descendant of Roger Williams Jane Barus (class of 1909), delegate to the New Jersey Constitutional Convention that drafted the current NJ State Constitution Justin Brande (class of 1935), founding executive director of the Vermont Natural Resources Council; son of writer Dorothea Brande Rosamond Carr (class of 1929), founder of Imbabazi, a Gisenyi, Rwanda organization providing educational, skills training, and income generating opportunities Helen Day (class of 1904), social worker, child welfare advocate, and head of Sheltering Arms in New York City Mary Dyckman (class of 1905), social worker and labor law activist for state laws regulating child labor and migrant labor Randolph Guggenheimer (class of 1924), lawyer, philanthropist, co-founder of North General Hospital in Harlem, and nephew of civic leader Samuel Untermyer Katherine C."
citizenship,citizenship,Morristown Beard School,"The former means citizenship, and the latter means: 'The world hangs in the work of the plow.') Morristown Beard School also renamed its Main Building as Beard Hall."
citizenship,Citizenship,Global Connections High School,"It was one of three small schools at the Tyee Educational Complex, along with the Academy of Citizenship and Empowerment and Odyssey-The Essential School."
citizenship,Citizenship,Global Connections High School,Global Connections High School merged with the Academy of Citizenship and Empowerment again after the 2016–2017 school year ended.
English language learner,English Language Learner,Pensacola High School,"Pensacola High School also serves students throughout Northwest Florida through magnet programs and career academies: International Baccaleaurate Program, Scholar's Program, English Language Learner Program, Academy for Health Professions, Advanced Manufacturing Academy, Early Childhood Education Academy, Law and Public Service Academy, Sports Medicine Academy, and Culinary Arts Academy Even though Pensacola Beach is zoned to Pensacola High School, most high-school students in Pensacola Beach attend Gulf Breeze High School, operated by Santa Rosa County School District."
English language learner,English language learner,Amador Valley High School,"Seven percent of Amador Valley students are involved in special education, three percent qualify for English language learner support, and eight percent qualify for free or reduced-price lunch."
ICE,ICE,High School for Health Professions and Human Services,"PS 226, a school for students with moderate to severe developmental disabilities, the Institute for Collaborative Education (ICE), an alternative school housed on the fifth floor of the building."
sanctuary,sanctuary,Christ the King Jesuit College Prep High School,"CTK has 26 classrooms, 3 science labs, and innovation center, makerspace, art and music / band rooms, environmental 'green' roof, and award-winning chapel with all seating facing each other from two sides of the central sanctuary."
bilingual,bilingual,Clover Park High School,10.2% of the student population is transitional bilingual.
immigrants,immigrants,Merced High School,The school has the Newcomer Program for newly arrived immigrants.
refugee,refugee,Merced High School,Many of them were refugees from the Thamkabok refugee camp in Thailand.
refugee,refugee,Merced High School,"By January 1983, Merced High School North Campus had suddenly received over 200 Hmong refugee students, with almost all of them in English as a second language (ESL) programs."
ESL,ESL,Merced High School,"By January 1983, Merced High School North Campus had suddenly received over 200 Hmong refugee students, with almost all of them in English as a second language (ESL) programs."
ESL,ESL,Merced High School,"Between the northern hemisphere spring of 1982 and January 1983, the school doubled the size of its ESL program."
undocumented,Undocumented,Tamalpais High School,"The 2014 First place was awarded to the Staff for 'All Quiet on the District Front'; the Second place was won by Isaac Cohen for 'Undocumented: Navigating Life Without Citizenship.' The paper introduced a website in 2006, tamnews.org, which was a finalist for the NSPA Online Pacemaker in 2007 and 2014."
undocumented,Undocumented,Tamalpais High School,"In 2014, CPSA recognized four members of the News, with Cassie Jeong winning two awards for Hand-drawn Art/Illustration: 1st place for 'Startup Weekend Adventures' and 3rd for 'Zine Fest.' The Staff received the 3rd-place award in Editorial writing for 'All Quiet on the District Front'; Isaac Cohen received a Certificate of Merit in the In-depth news/feature story category for 'Undocumented.' Previous Gold Circle Award winners follow: 1997 Single Spot News Photograph (Tabloid), 2nd, Shannon McGuire, 'Mill Valley fire fighters...' 2000 Entertainment Review, 2nd, Noah Flower, 'Powerful novel reveals African experience' 2001 Feature Photo (Single), 2nd, Sarah Wagner, 'Bring Elian Home-Salremos A Alian' Overall Design, 2nd, Sarah Wagner, Noah Flower, And the staff, 'Tam News From Havana' Title & Content Page, 2nd, Noah Flower, Sarah Wagner, 'Inside' Personality Profile, 3rd, Melissa Simon, 'Into The Unknown' The News has experimented with different formats, including a news magazine called THAT Magazine from 2003 to 2005."
citizenship,Citizenship,Tamalpais High School,"The 2014 First place was awarded to the Staff for 'All Quiet on the District Front'; the Second place was won by Isaac Cohen for 'Undocumented: Navigating Life Without Citizenship.' The paper introduced a website in 2006, tamnews.org, which was a finalist for the NSPA Online Pacemaker in 2007 and 2014."
Title III,Title III,Spring Lake Park High School,"As a result of a Title III grant, the Opportunities in Emergency Health Care Program started training high school students to become Emergency Medical Technicians (EMT’s).' The campus was renovated throughout the 2008–09 school year."
ESL,ESL,Croton-Harmon High School,"The school offers the usual range of high school classes, as well as the following AP classes: Biology, Macroeconomics, Calculus AB and BC, Physics, Chemistry, Spanish Language, French Language, English Language, English Literature, Statistics, Studio Art, Environmental Science, World History, US History Language classes include Spanish, French, Mandarin Chinese, and English as a Second Language (ESL)."
English language learner,English Language Learner,Wausau East High School,"During this time, Wausau East High School also went through extensive renovation, including lowering of the ceilings and dividing the old library into three discussion rooms and classrooms (primarily English Language Learner rooms)."
English language learner,English Language Learner,"Lincoln High School (Lincoln, Nebraska)",LHS has approximately 330 students in ELL (English Language Learner) classes.
bilingual,Bilingual,Benito Juarez Community Academy,"(For an up-to-date list, refer to the school's website): After School Matters - Mariachi Ensemble Art Club Bilingual Tutoring Club BJABU (Benito Juarez Association for Black Unity) buildOn Culinary Club Dance Team Drum Line Elite Gamers (Yu-Gi-Oh!"
immigrants,immigrants,Seventy-First High School,"The township was named after the Scottish immigrants who were descendants of the 71st Regiment of Foot, Fraser's Highlanders, a Scots regiment of the British Army that fought with distinction during the French and Indian War and then disbanded."
citizenship,citizenship,Raisbeck Aviation High School,"It is focused on preparing students for college, careers, and citizenship."
immigrants,immigrants,Walton High School (Bronx),"Like its other sister schools, Manhattan International and Bronx International, Kingsbridge was implemented to help new immigrants in New York learn English through various projects."
bilingual,bilingual,Petaluma High School,"In addition, it has a school nurse, two school psychologists, a speech and language specialist, bilingual support services, and instructional assistants in special education."
asylum,asylum,"Christian Brothers Academy (Albany, New York)","In 1854, the Christian Brothers were invited to Albany by Bishop John McCloskey, to open an orphan asylum for boys."
asylum,asylum,"Christian Brothers Academy (Albany, New York)","To help support the asylum, the Brothers began a pay school in 1859 in which eighty boys enrolled."
citizenship,citizenship,Farmington Central High School (Michigan),"Course material progresses from basic vocabulary to conversational competence, citizenship studies, and an understanding of American culture."
foreign-born,foreign-born,Farmington Central High School (Michigan),English as a Second Language is a program for foreign-born adults who wish to improve their proficiency in English.
immigrants,immigrants,Canisius High School,"In 1850, a group of Jesuits left Europe in response to Bishop John Timon's call for a Catholic institution to serve European immigrants settling in Western New York."
ICE,ICE,"Central High School (Newark, New Jersey)","Students have the opportunity to certify in NELDA (National Entry Level Dental Assistant), AMP (Anatomy, Morphology, and Physiology), ICE (Infection Control Exam), and RHS (Radiation Health Safety)."
immigrants,immigrants,Flushing International High School,The network's mission is to provide quality education to recently arrived immigrants by developing and networking small high schools based on the Internationals approach.
citizenship,citizenship,South River High School (New Jersey),"A person of character demonstrates the following six qualities: respect, responsibility, trustworthiness, fairness, caring, and citizenship.' Each year the Faculty Council reviews the information provided by each candidate, as well as faculty evaluation forms in order to make consistent, equitable selection determinations."
sanctuary,Sanctuary,Red Lodge High School,"Red Lodge High School is located near the northern end of Red Lodge, adjacent to the sports fields and Yellowstone Wildlife Sanctuary."
immigrants,immigrants,Milby High School,"As of 2014, many students are children of first-generation immigrants."
citizenship,citizenship,Pottsgrove High School,Each subject is accompanied by a citizenship mark based on a pupil's capacity for growth.
immigrant,immigrant,Thomas Jefferson High School (San Antonio),"Hannibal and Eugene Pianta, an Italian immigrant and his son, decorated the main entrance columns and balconies with cast-stone ornamentation."
English language learner,English language learner,Lawrence North High School,"Thirteen percent of the students are involved in special education, ten percent qualify for English language learner support, and fifty-four percent qualify for free or reduced price lunch."
ESL,ESL,Lancaster High School (Texas),"Student enrollment in the following specialty programs was as follows in 2007-2008: Bilingual/ESL Education (1.4%), Career & Technology Education (75.4%), Gifted & Talented Education (4.3%), and Special Education (9.7%)."
bilingual,Bilingual,Lancaster High School (Texas),"Student enrollment in the following specialty programs was as follows in 2007-2008: Bilingual/ESL Education (1.4%), Career & Technology Education (75.4%), Gifted & Talented Education (4.3%), and Special Education (9.7%)."
immigrant,immigrant,Cathedral High School (Boston),"Cathedral High School was founded as an archdiocesan high school in 1926 by Cardinal William Henry O'Connell, then-Archbishop of Boston, primarily to educate the sons and daughters of Boston's large immigrant and first-generation American population."
immigrant,immigrant,Miami Springs Senior High School,"This has been a boon to its extensive Advanced Placement program, and Springs was ranked among the top 10 high schools nationwide for Hispanic students performance in the AP program - 65% passing rate across all subjects - with first-generation immigrant Hispanic students receiving the highest scores."
foreign-born,foreign-born,Miami Springs Senior High School,"Miami Springs Senior High has been a Title I school since the program was expanded to Miami-Dade Public Schools in 2002, due to its extremely high rate of foreign-born students (66.9% in 2013, 70.7% in 2005 and 52.2% in 1997)."
foreign-born,foreign-born,Miami Springs Senior High School,"In 2013, Miami Springs was ranked as the public high school with the highest proportion of foreign-born students nationwide, followed closely by Ronald W."
immigrant,immigrant,Fordson High School,"In addition to Arab immigrants, there were students of recent non-Arab immigrant backgrounds, including Albanians, Ivorians, Pakistanis, and Romanians."
immigrants,immigrants,Fordson High School,"By 1986, the school established an English as a second language program for newly arrived immigrants."
immigrants,immigrants,Fordson High School,"For much of its history the students were immigrants of Greek, Italian, and Polish heritage, or other areas in Central and Southern regions of the continent."
immigrants,immigrants,Fordson High School,"In addition to Arab immigrants, there were students of recent non-Arab immigrant backgrounds, including Albanians, Ivorians, Pakistanis, and Romanians."
immigrants,immigrants,Fordson High School,Among the Arab students were longtime residents as well as recent immigrants; as of 2002 the latter often ate lunch inside the student cafeteria.
immigrants,immigrants,Fordson High School,"Longtime residents, who often ate lunch in off-campus restaurants, thought the recent immigrants, known as 'boaters' meaning 'fresh off the boat' in area Arab-American slang, had a lack of sophistication."
immigrants,immigrants,Fordson High School,"Ayouby, authors of 'Being Arab and Becoming Americanized: Forms of Mediated Assimilation in Metropolitan Detroit,' the longtimers perceived the recent immigrants as being 'nerdy'."
migrant,migrant,McAllen High School,"Initially, although obsolete, the old campus was maintained for instructing 'migrant students'."
migrant,migrant,McAllen High School,"By 1973, however, the 'migrant student' population had grown to more than 1,000 and school board officials decided to mainstream migrant students."
migrant,migrant,McAllen High School,"By 1973, however, the 'migrant student' population had grown to more than 1,000 and school board officials decided to mainstream migrant students."
sanctuary,Sanctuary,Jupiter Environmental Research and Field Studies Academy,"The academy currently provides over 75 field activities per year that include cooperative field work with a variety of agencies such as: the Loxahatchee River Environmental Control District, ERM, Busch Wildlife Sanctuary, MacArthur State Park, Jonathan Dickinson State Park, Partnership For Environmental Education, Inc., Palm Beach County Parks & Recreation, Loxahatchee Preserve Nature Center, U.S."
citizenship,citizenship,Mr. Maine Basketball,"The award is given to a senior player who best demonstrates basketball skills, makes significant impact on his team, shows leadership and respect for the game, and demonstrates good sportsmanship and citizenship both on and off the court."
English language learner,English language learner,Peabody Veterans Memorial High School,"For assessment of selected populations, the reported statistics are 43.9% high needs, 28.7% economically disadvantaged, 19.7% students with disabilities, 7.0% students with their first language being non-English, and 3.8% English language learner."
citizenship,Citizenship,Albany High School (New York),"In 2011, the school created four themed learning communities referred to as academies (Citizenship Academy, Discovery Academy, Innovation Academy and Leadership Academy); all students are assigned to one of the academies."
bilingual,Bilingual,French Bilingual School of South Carolina,"The French Bilingual School of South Carolina (French: École Française Bilingue - South Carolina, EFB) was an overseas French school in Greenville, South Carolina in unincorporated Greenville County, South Carolina, in the Greenville-Spartanburg area."
immigration,immigration,Loyola High School (Los Angeles),National and regional topical workshops included Loyola's hosting 500 students and adults from the US and Mexico for the 2008 ISN conference on comprehensive immigration reform.
immigration,immigration,Loyola High School (Los Angeles),"In recent years, Loyola delegations have participated in national conferences on racism and poverty in New Orleans (2007) and comprehensive immigration advocacy in Washington, DC (2009)."
immigration,immigration,Loyola High School (Los Angeles),"The 2010 ISN program occurred in Washington, DC, and focused on immigration, the environment, health care, and education."
border,border wall,Liberty High School (Oregon),"In May 2018 a student of the school filed a suit against Liberty, alleging it violated his First Amendment rights of freedom of speech when it suspended him for wearing a T-shirt supportive of the Mexico–United States border wall."
immigrants,immigrants,Hibbing High School,It also satisfied immigrants' desire for their children's education.
bilingual,bilingual,French School of Detroit,"The School offers a bilingual education based on the French curriculum to enhance linguistic and cultural diversity and prepare students for higher education in the US, France and other countries."
immigrants,immigrants,Clarkston High School (Georgia),"In 2016, all eight of the top runners on the team were immigrants from African countries, including Democratic Republic of the Congo, Somalia, and South Sudan."
migrant,migrant,James Madison High School (Brooklyn),"In January 2024, the school building was temporarily turned into a shelter for asylum seeking migrant families, and students from the school were temporarily switched over to remote learning."
asylum,asylum,James Madison High School (Brooklyn),"In January 2024, the school building was temporarily turned into a shelter for asylum seeking migrant families, and students from the school were temporarily switched over to remote learning."
immigrant,immigrant,Columbus Global Academy,Its purpose is to educate immigrant students e.g.
ESL,ESL,Columbus Global Academy,"The school opened in 2008, but the Columbus City Schools ESL program from which it was formed was founded in 1999."
ESL,ESL,Columbus Global Academy,"Columbus Global Academy is a relatively new school, and it is an aggregation of smaller ESL schools throughout the Columbus City Schools district."
ESL,ESL,Columbus Global Academy,"It is currently the only exclusively ESL school in the Columbus City Schools district, and is also the largest school of its kind in the nation."
ESL,ESL,Columbus Global Academy,"Its current location is in the Brookhaven High School building on Karl Road, and the ESL program offices are also housed in the same building."
ESL,ESL,Columbus Global Academy,"The main focus of the ESL program is to facilitate student learning within five designated skill areas: listening, speaking, reading, writing and cultural enrichment."
ESL,ESL,Columbus Global Academy,"Students at the Global Academy receive ESL support in mathematics, English language arts, reading, science, technology, music, visual art, and physical education."
immigrants,immigrants,Gregorio Luperón High School for Math & Science,"Luperón was founded in 1992 as a transitional program for newly arrived Spanish-speaking immigrants, in 2001 it was converted into a full 4-year diploma-granting high school."
