keyword,matched_text,title,sentence
undocumented,undocumented,Gary Comer College Prep,"Noble seniors earned a record-breaking $486 million in scholarships, including 71 recipients of the Pritzker Access Scholarship for undocumented students."
bilingual,Bilingual,International High School of San Francisco,"Paul Episcopal, Holy Spirit c) Bilingual schools: Chinese American International School, Ecole Bilingue de Berkeley, Lycée Français de San Francisco, International School of the Peninsula d) Public schools: Alice Fong Yu, Aptos, Everett, Gateway, Hoover, Kipp Bridge, Lawton, Presidio, Rooftop, Mill Valley Middle, Crocker Middle (Hillsborough) Ingrid Lacy (Pacifica), Fernando Rivera (Daly City) A small number of students enter from schools abroad."
bilingual,bilingual,International High School of San Francisco,"For IB students in 11th and 12th grade, the school offers both Level A (native/bilingual level) and Level B (non-native) courses in French and Chinese."
immigration,immigration,Cristo Rey Jesuit High School (Baltimore),"23, 2015 '100 women march for immigration reform,” Baltimore Sun, Sept."
sanctuary,sanctuary,DuSable High School,"The school once held an inner sanctuary that had many different animals, including peacocks, a goat, snakes, pigeons, chickens, and various other species."
sanctuary,sanctuary,DuSable High School,"Emiel Hamberlin, the schools' biology teacher and sanctuary was featured in the March 1977 issue of Ebony magazine."
bilingual,Bilingual,University of Missouri High School,"High school students at Mayatan Bilingual School in Copán Ruinas, Honduras were able to receive American diplomas through MU High School, completing some tests and coursework online."
immigrants,immigrants,Forest View High School (Illinois),"It is home to the district's Newcomer Center, which helps give newly arrived immigrants an opportunity to learn the English language and to better transition into one of the district's six high schools."
bilingual,bilingual,La Costa Canyon High School,"Classified staff includes special education instructional assistants, one bilingual instructional assistant, two AVID tutors, one athletic trainer, nutrition services workers, two campus supervisors, clerical staff, custodial staff, one health technician, and one theater technician."
immigration,immigration,Samuel J. Tilden High School,The neighborhood saw increased immigration from the Caribbean.
bilingual,Bilingual,"Freedom High School (Tampa, Florida)",Newspaper: Revolution Website: HillsboroughSchools.org/o/Freedom Yearbook: Glory Media Specialist: Jennifer Simard TV Production: Freedom TV Bilingual: E.S.O.L.
ESL,ESL,School of Science and Technology,"15% were on free or reduced lunch, 19% were eligible for special education, and 1% were enrolled in ESL."
immigrants,immigrants,Ferndale High School (Washington),The school has a diverse student population that includes members of the nearby Lummi Nation and immigrants from Asia and Europe.
immigrants,immigrants,"Trinity High School (Euless, Texas)","The show choir, Harmony, is a 14-16 member auditioned ensemble and perform throughout the Metroplex including places such as The Mansion on Turtle Creek, the Nationalization Ceremony for immigrants, and the Ft."
immigration,immigration,"Cardinal Newman High School (Columbia, South Carolina)","Columbia, S.C., The State department of agriculture, commerce and immigration ..."
refugee,refugee,Immaculata-LaSalle High School,"Also, Cuban refugee girls soon become Immaculata classmates and were paired with Immaculata students to learn English."
bilingual,bilingual,"Eastside High School (Paterson, New Jersey)","Limited English Proficient students cannot speak, read, or write in English and are placed in 'bilingual' classes."
citizenship,citizenship,Harrison Central High School (Mississippi),"The JROTC 'Red Rebel' Battalion, as of the 2020–21 school year, has approximately 50 cadets who learn the value of citizenship, leadership, community service, and teamwork."
ESL,ESL,Cambrian Academy,"This prevents foreign students from becoming isolated, as happens too often in many ESL programs."
bilingual,bilingual,San Fernando High School,Many of the teachers who were alumni of San Fernando High were bilingual and could offer assistance to Spanish-speaking students.
asylum,asylum,Kansas State School for the Blind,"In 1863, the city leased the land to the state of Kansas provided it would be used as a 'blind asylum'."
asylum,Asylum,Kansas State School for the Blind,"Local newspapers advertised the school under the name 'Asylum for the Blind' and 11 students had applied by April 23, 1868."
asylum,asylum,Kansas State School for the Blind,Crawford appointed a Board of Trustees for the asylum and hired W.
bilingual,bilingual,St. Paul Diocesan Junior-Senior High School,The new high school offered a bilingual program in French and English.
immigration,Immigration,Columbia High School (New Jersey),"In January 2026, there was a student-led walk out protesting Immigration and Customs Enforcement (ICE) following the deaths of Renee Good, Keith Porter Jr., and many others, as well as the presence of ICE within South Orange and Maplewood."
ICE,ICE,Columbia High School (New Jersey),"In January 2026, there was a student-led walk out protesting Immigration and Customs Enforcement (ICE) following the deaths of Renee Good, Keith Porter Jr., and many others, as well as the presence of ICE within South Orange and Maplewood."
ICE,ICE,Columbia High School (New Jersey),"In January 2026, there was a student-led walk out protesting Immigration and Customs Enforcement (ICE) following the deaths of Renee Good, Keith Porter Jr., and many others, as well as the presence of ICE within South Orange and Maplewood."
ICE,ICE,Columbia High School (New Jersey),"Headed by the Students For Justice club, students gathered outside the school and spoke out and protested against the actions of ICE."
citizenship,citizenship,Thousand Oaks High School,"In 2024, Thousand Oaks High School was recognized with the CIF-Southern Section (CIF-SS) Champion of Character award, which honors student-athletes who demonstrate a strong competitive spirit while upholding the Six Pillars of Character: trustworthiness, responsibility, respect, fairness, caring, and citizenship."
immigration,immigration,Grant High School (Los Angeles),"The Armenian students, as of 2015, originated in a wave of immigration from Armenia and the former Soviet Union that began in the early 1990s."
ESL,ESL,Berkeley High School (California),"Club Mock Trial Robotics ESL/ELL English and World Language History JSA Mathematics Journalism, which produces the locally prominent school newspaper, the Berkeley High Jacket Physical Education PTSA Science Special Education Visual and Performing Arts: Jazz Ensemble Youth & Government The Berkeley High School campus covers four city blocks between Milvia Street and Martin Luther King Jr."
bilingual,Bilingual,Alcides Figueroa Bilingual School,"The Alcides Figueroa Bilingual School (formerly Sergio Ramírez de Arellano-Hostos Regional Bilingual Secondary School) is a bilingual, magnet secondary school located in Añasco, Puerto Rico."
bilingual,Bilingual,Alcides Figueroa Bilingual School,"The Alcides Figueroa Bilingual School (formerly Sergio Ramírez de Arellano-Hostos Regional Bilingual Secondary School) is a bilingual, magnet secondary school located in Añasco, Puerto Rico."
bilingual,bilingual,Alcides Figueroa Bilingual School,"The Alcides Figueroa Bilingual School (formerly Sergio Ramírez de Arellano-Hostos Regional Bilingual Secondary School) is a bilingual, magnet secondary school located in Añasco, Puerto Rico."
bilingual,bilingual,Alcides Figueroa Bilingual School,"It was the first public secondary bilingual school on the island, and, with the Antonio González Suárez Bilingual School (K–5), is part of the only fully bilingual K–12 system of a municipality of Puerto Rico."
bilingual,Bilingual,Alcides Figueroa Bilingual School,"It was the first public secondary bilingual school on the island, and, with the Antonio González Suárez Bilingual School (K–5), is part of the only fully bilingual K–12 system of a municipality of Puerto Rico."
bilingual,bilingual,Alcides Figueroa Bilingual School,"It was the first public secondary bilingual school on the island, and, with the Antonio González Suárez Bilingual School (K–5), is part of the only fully bilingual K–12 system of a municipality of Puerto Rico."
immigrants,immigrants,Our Lady of Tepeyac High School,"Once home to Eastern European immigrants, Little Village is now considered one of the largest Mexican American communities in the country."
sanctuary,Sanctuary,Yeshivat Kadimah High School,"These have included community service at Project Backpack, the Jewish Food Pantry, the Wild Bird Sanctuary, and visits to the Thomas F."
immigrants,immigrants,Oregon City High School,The cartoon was a depiction of two vigilante patrolmen discussing a 'point system' for the capture of illegal immigrants.
immigrant,immigrant,Davies High School,Students stated that the walkout was intended to raise awareness about the impact of enforcement tactics on immigrant communities.
immigration,Immigration,Davies High School,Immigration and Customs Enforcement (ICE) actions in the region.
immigration,immigration,Davies High School,"The protest was organized in response to 'Operation Metro Surge,' a federal immigration enforcement initiative, as well as reported incidents involving federal agents in nearby Minneapolis."
