step,loss,learning_rate,elapsed_s
423,2.109235,2.53e-04,2592.5
424,2.123743,2.54e-04,2598.6
425,2.121196,2.54e-04,2604.8
426,2.115557,2.55e-04,2610.9
427,2.043483,2.56e-04,2617.0
428,2.105821,2.56e-04,2623.2
429,2.101303,2.57e-04,2629.3
430,2.080060,2.57e-04,2635.5
431,2.199437,2.58e-04,2641.6
432,2.057449,2.59e-04,2647.8
433,2.101300,2.59e-04,2653.9
434,2.064430,2.60e-04,2660.0
435,2.121514,2.60e-04,2666.2
436,2.172911,2.61e-04,2672.3
437,2.038194,2.62e-04,2678.4
438,2.056067,2.62e-04,2684.5
439,2.045311,2.63e-04,2690.7
440,2.213992,2.63e-04,2696.8
441,2.065600,2.64e-04,2702.9
442,2.087659,2.65e-04,2709.0
443,2.086550,2.65e-04,2715.2
444,2.096864,2.66e-04,2721.3
445,2.094802,2.66e-04,2727.4
446,2.042900,2.67e-04,2733.6
447,2.112839,2.68e-04,2739.7
448,2.011550,2.68e-04,2745.8
449,2.059176,2.69e-04,2751.9
450,2.058871,2.69e-04,2758.1
451,2.136374,2.70e-04,2764.2
452,2.075286,2.71e-04,2770.3
453,2.025697,2.71e-04,2776.4
454,2.109900,2.72e-04,2782.5
455,2.205276,2.72e-04,2788.6
456,2.112859,2.73e-04,2794.7
457,2.117576,2.74e-04,2800.9
458,2.088560,2.74e-04,2807.0
459,2.057857,2.75e-04,2813.1
460,2.131792,2.75e-04,2819.3
461,2.068878,2.76e-04,2825.4
462,2.012100,2.77e-04,2831.5
463,2.115507,2.77e-04,2837.6
464,2.069286,2.78e-04,2843.7
465,2.071038,2.78e-04,2849.8
466,2.070569,2.79e-04,2856.0
467,2.161299,2.80e-04,2862.1
468,2.031683,2.80e-04,2868.2
469,2.040199,2.81e-04,2874.4
470,2.132398,2.81e-04,2880.5
471,2.173677,2.82e-04,2886.6
472,2.164827,2.83e-04,2892.8
473,2.086406,2.83e-04,2898.8
474,2.067929,2.84e-04,2905.0
475,2.097631,2.84e-04,2911.1
476,2.055317,2.85e-04,2917.2
477,2.089612,2.86e-04,2923.3
478,2.050401,2.86e-04,2929.4
479,2.052840,2.87e-04,2935.5
