step,loss,learning_rate,elapsed_s
399,0.711229,2.39e-04,4501.1
400,0.494938,2.39e-04,4512.5
401,0.636189,2.40e-04,4523.8
402,0.655682,2.41e-04,4534.7
403,0.761996,2.41e-04,4546.3
404,0.646935,2.42e-04,4557.8
405,0.678610,2.42e-04,4569.1
406,0.458980,2.43e-04,4580.4
407,0.763776,2.44e-04,4592.6
408,0.554735,2.44e-04,4603.4
409,0.350157,2.45e-04,4614.5
410,0.520074,2.45e-04,4626.0
411,0.256270,2.46e-04,4637.2
412,0.517300,2.47e-04,4648.7
413,0.360809,2.47e-04,4659.9
414,0.592889,2.48e-04,4670.9
415,0.540987,2.48e-04,4682.2
416,0.512638,2.49e-04,4693.3
417,0.568023,2.50e-04,4705.0
418,0.679787,2.50e-04,4716.3
419,0.562871,2.51e-04,4727.9
420,0.607067,2.51e-04,4738.9
421,0.342876,2.52e-04,4750.3
422,0.359398,2.53e-04,4761.7
423,0.313132,2.53e-04,4772.8
424,0.452135,2.54e-04,4784.1
425,0.364786,2.54e-04,4795.5
426,0.325781,2.55e-04,4806.8
427,0.387743,2.56e-04,4818.1
428,0.420064,2.56e-04,4829.4
429,0.606326,2.57e-04,4841.0
430,0.295402,2.57e-04,4852.5
431,0.633955,2.58e-04,4863.8
432,0.627437,2.59e-04,4874.8
433,0.590522,2.59e-04,4886.4
434,0.446311,2.60e-04,4897.3
435,0.793131,2.60e-04,4908.3
436,0.437554,2.61e-04,4919.4
437,0.615638,2.62e-04,4931.2
438,0.495131,2.62e-04,4942.3
439,0.434693,2.63e-04,4953.3
440,0.630698,2.63e-04,4964.4
441,0.475208,2.64e-04,4975.5
442,0.465162,2.65e-04,4987.0
443,0.347713,2.65e-04,4998.2
444,0.692236,2.66e-04,5009.8
445,0.552031,2.66e-04,5021.5
446,0.420038,2.67e-04,5032.4
447,0.330469,2.68e-04,5043.2
448,0.359686,2.68e-04,5054.4
449,0.447827,2.69e-04,5065.9
450,0.423287,2.69e-04,5077.3
451,0.462104,2.70e-04,5088.6
452,0.617581,2.71e-04,5099.8
453,0.442553,2.71e-04,5111.5
454,0.727373,2.72e-04,5122.2
455,0.552157,2.72e-04,5133.6
456,0.362292,2.73e-04,5144.7
457,0.465149,2.74e-04,5156.3
458,0.611503,2.74e-04,5167.8
459,0.333762,2.75e-04,5178.9
460,0.328504,2.75e-04,5190.1
461,0.385994,2.76e-04,5201.4
462,0.254930,2.77e-04,5212.8
463,0.450274,2.77e-04,5223.5
464,0.562955,2.78e-04,5235.2
465,0.327038,2.78e-04,5246.0
466,0.400575,2.79e-04,5257.1
467,0.580136,2.80e-04,5268.6
468,0.332497,2.80e-04,5279.8
469,0.559378,2.81e-04,5291.0
470,0.312946,2.81e-04,5301.9
471,0.368913,2.82e-04,5313.1
472,0.671424,2.83e-04,5324.5
473,0.446033,2.83e-04,5336.2
474,0.459962,2.84e-04,5347.6
475,0.502282,2.84e-04,5359.0
476,0.778445,2.85e-04,5369.7
477,0.486181,2.86e-04,5381.3
478,0.347103,2.86e-04,5392.6
479,0.449008,2.87e-04,5403.7
480,0.548618,2.87e-04,5415.2
481,1.208144,2.88e-04,5426.7
482,1.034196,2.89e-04,5438.0
483,0.368354,2.89e-04,5449.3
484,0.862294,2.90e-04,5460.8
