step,loss,learning_rate,elapsed_s
220,1.708000,4.23e-05,537.5
221,1.759100,4.24e-05,539.9
222,1.774800,4.26e-05,542.4
223,1.729300,4.28e-05,544.8
224,1.705800,4.30e-05,547.2
225,1.673100,4.32e-05,549.7
226,1.595700,4.34e-05,552.1
227,1.717800,4.36e-05,554.5
228,1.794400,4.38e-05,557.0
229,1.914400,4.40e-05,559.4
230,1.669400,4.42e-05,561.8
231,1.758600,4.44e-05,564.3
232,1.734600,4.46e-05,566.7
233,1.676000,4.48e-05,569.1
234,1.617800,4.49e-05,571.6
235,1.859300,4.51e-05,574.0
236,1.842600,4.53e-05,576.4
237,1.883100,4.55e-05,578.9
238,1.848100,4.57e-05,581.3
239,1.834300,4.59e-05,583.7
240,1.649200,4.61e-05,586.1
241,1.679900,4.63e-05,588.6
242,1.807100,4.65e-05,591.0
243,1.832800,4.67e-05,593.4
244,1.975100,4.69e-05,595.9
245,1.569600,4.71e-05,598.3
246,1.837800,4.72e-05,600.8
247,1.715600,4.74e-05,603.2
248,1.708300,4.76e-05,605.6
249,1.722300,4.78e-05,608.0
250,1.867200,4.80e-05,610.5
251,1.927100,4.82e-05,612.9
252,1.800500,4.84e-05,615.3
253,1.805000,4.86e-05,617.8
254,1.647300,4.88e-05,620.2
255,1.770500,4.90e-05,622.7
256,1.770300,4.92e-05,625.1
257,1.774700,4.94e-05,627.5
258,1.810000,4.96e-05,630.0
259,1.710200,4.97e-05,632.4
260,1.559500,4.99e-05,634.8
261,1.848700,5.01e-05,637.3
262,1.774700,5.03e-05,639.7
263,1.757400,5.05e-05,642.1
264,1.864500,5.07e-05,644.6
265,1.939600,5.09e-05,647.0
266,1.788700,5.11e-05,649.5
267,1.783300,5.13e-05,651.9
268,1.674000,5.15e-05,654.3
269,1.779600,5.17e-05,656.8
270,1.809100,5.19e-05,659.2
271,1.702900,5.20e-05,661.6
272,1.756500,5.22e-05,664.1
273,1.747300,5.24e-05,666.5
274,1.829900,5.26e-05,668.9
275,1.770500,5.28e-05,671.4
276,1.784600,5.30e-05,673.8
277,1.854900,5.32e-05,676.2
278,1.812900,5.34e-05,678.7
279,1.709100,5.36e-05,681.1
280,1.768300,5.38e-05,683.5
281,1.801900,5.40e-05,686.0
282,1.816300,5.42e-05,688.4
283,1.734100,5.44e-05,690.8
284,1.819400,5.45e-05,693.3
285,1.749800,5.47e-05,695.7
286,1.821300,5.49e-05,698.1
287,1.860000,5.51e-05,700.6
288,1.782500,5.53e-05,703.0
289,1.727000,5.55e-05,705.4
290,1.828400,5.57e-05,707.9
291,1.801900,5.59e-05,710.3
292,1.732000,5.61e-05,712.7
293,1.801700,5.63e-05,715.1
294,1.805600,5.65e-05,717.6
295,1.712400,5.67e-05,720.0
296,1.796500,5.69e-05,722.5
