step,loss,learning_rate,elapsed_s
258,2.015243,1.97e-04,3750.0
259,2.106371,1.97e-04,3765.5
260,2.032164,1.97e-04,3780.5
261,2.163207,1.97e-04,3795.6
262,2.076725,1.97e-04,3810.8
263,2.003450,1.97e-04,3826.1
264,2.196038,1.97e-04,3841.4
265,2.076124,1.97e-04,3857.0
266,1.864309,1.96e-04,3873.0
267,2.055752,1.96e-04,3888.4
268,2.128072,1.96e-04,3903.6
269,2.044104,1.96e-04,3918.6
270,1.980731,1.96e-04,3933.9
271,1.999557,1.96e-04,3948.9
272,1.927517,1.96e-04,3963.7
273,2.050957,1.96e-04,3978.6
274,1.917879,1.96e-04,3993.8
275,2.000391,1.96e-04,4008.8
276,2.172942,1.96e-04,4023.8
277,2.017770,1.96e-04,4039.4
278,1.927571,1.96e-04,4055.0
279,2.082214,1.96e-04,4070.3
280,2.083066,1.96e-04,4085.3
281,1.878108,1.95e-04,4100.2
282,1.875139,1.95e-04,4115.2
283,1.999846,1.95e-04,4130.3
284,2.096869,1.95e-04,4145.3
285,2.006991,1.95e-04,4161.1
286,2.277575,1.95e-04,4176.0
287,2.174886,1.95e-04,4191.1
288,1.971012,1.95e-04,4206.2
289,1.930177,1.95e-04,4221.4
290,1.973115,1.95e-04,4236.6
291,1.943562,1.95e-04,4252.0
292,2.089707,1.95e-04,4266.9
293,2.119586,1.95e-04,4281.8
294,1.973123,1.95e-04,4296.6
295,2.073917,1.94e-04,4311.7
296,1.997971,1.94e-04,4326.5
297,2.181039,1.94e-04,4341.8
298,2.200916,1.94e-04,4357.0
299,1.879388,1.94e-04,4372.5
300,2.022466,1.94e-04,4387.5
301,1.859698,1.94e-04,4402.8
302,2.156724,1.94e-04,4418.2
303,2.083300,1.94e-04,4433.6
304,2.017008,1.94e-04,4448.7
305,1.981095,1.94e-04,4464.1
306,2.156250,1.94e-04,4479.1
307,2.034154,1.93e-04,4494.2
308,2.058212,1.93e-04,4509.8
309,1.923544,1.93e-04,4524.9
310,1.991710,1.93e-04,4540.3
311,2.011269,1.93e-04,4555.4
312,2.124326,1.93e-04,4570.3
313,2.040032,1.93e-04,4585.3
314,2.022242,1.93e-04,4601.0
315,1.956934,1.93e-04,4616.7
316,2.086396,1.93e-04,4632.1
317,2.082857,1.93e-04,4647.3
318,2.106892,1.93e-04,4662.6
319,2.078764,1.92e-04,4677.8
320,2.167183,1.92e-04,4693.1
